Wavelength (nm),%T
2500,87.60948944
2499,87.62519836
2498,87.61920166
2497,87.63665771
2496,87.64541626
2495,87.64797974
2494,87.65431976
2493,87.65757751
2492,87.67652893
2491,87.68320465
2490,87.68930054
2489,87.69184113
2488,87.6942749
2487,87.6989975
2486,87.71526337
2485,87.72383881
2484,87.72629547
2483,87.73600769
2482,87.75222015
2481,87.75971222
2480,87.7645874
2479,87.77698517
2478,87.79102325
2477,87.79296875
2476,87.79631805
2475,87.80634308
2474,87.81645203
2473,87.82736969
2472,87.83552551
2471,87.85112
2470,87.85662842
2469,87.87199402
2468,87.88404846
2467,87.89556885
2466,87.90164185
2465,87.91254425
2464,87.92499542
2463,87.93513489
2462,87.95246887
2461,87.95794678
2460,87.97332764
2459,87.98564911
2458,87.99734497
2457,88.00815582
2456,88.02194214
2455,88.03554535
2454,88.05036163
2453,88.0668335
2452,88.07765961
2451,88.08053589
2450,88.09696198
2449,88.11319733
2448,88.12687683
2447,88.13718414
2446,88.14903259
2445,88.17021942
2444,88.18739319
2443,88.19586945
2442,88.20703888
2441,88.23022461
2440,88.23683167
2439,88.25007629
2438,88.2624054
2437,88.27127075
2436,88.28307343
2435,88.30205536
2434,88.3095932
2433,88.31427002
2432,88.33976746
2431,88.35605621
2430,88.36712646
2429,88.38708496
2428,88.40104675
2427,88.41057587
2426,88.41756439
2425,88.43314362
2424,88.44809723
2423,88.45314026
2422,88.46760559
2421,88.4778595
2420,88.48791504
2419,88.50600433
2418,88.51432037
2417,88.51537323
2416,88.53148651
2415,88.54449463
2414,88.5555191
2413,88.56004333
2412,88.56482697
2411,88.58205414
2410,88.58837128
2409,88.59423828
2408,88.60198975
2407,88.61314392
2406,88.61868286
2405,88.63239288
2404,88.63889313
2403,88.65161133
2402,88.65984344
2401,88.66714478
2400,88.66566467
2399,88.68108368
2398,88.68515015
2397,88.68624878
2396,88.69465637
2395,88.70157623
2394,88.70953369
2393,88.72317505
2392,88.72390747
2391,88.72641754
2390,88.72984314
2389,88.74411011
2388,88.73849487
2387,88.73806
2386,88.74594879
2385,88.7474823
2384,88.75733185
2383,88.76150513
2382,88.76232147
2381,88.76676941
2380,88.79586029
2379,88.79074097
2378,88.78746796
2377,88.79523468
2376,88.79760742
2375,88.79401398
2374,88.79270935
2373,88.802948
2372,88.81183624
2371,88.80788422
2370,88.80971527
2369,88.7975769
2368,88.81511688
2367,88.81176758
2366,88.82131958
2365,88.82282257
2364,88.830513
2363,88.8152771
2362,88.80702972
2361,88.82135773
2360,88.81855011
2359,88.83010101
2358,88.82847595
2357,88.8250885
2356,88.83115387
2355,88.82623291
2354,88.84294891
2353,88.84069061
2352,88.83049774
2351,88.82793427
2350,88.82562256
2349,88.82488251
2348,88.81954193
2347,88.82281494
2346,88.83164215
2345,88.82987976
2344,88.82995605
2343,88.8296051
2342,88.83166504
2341,88.83548737
2340,88.83449554
2339,88.81977081
2338,88.81501007
2337,88.81581879
2336,88.82411957
2335,88.82077026
2334,88.8200531
2333,88.8258667
2332,88.82569885
2331,88.81984711
2330,88.8174057
2329,88.81456757
2328,88.81285095
2327,88.8125
2326,88.80176544
2325,88.78640747
2324,88.79703522
2323,88.79637146
2322,88.79240417
2321,88.78322601
2320,88.7908783
2319,88.78738403
2318,88.78364563
2317,88.77256012
2316,88.76524353
2315,88.77011871
2314,88.76350403
2313,88.75708008
2312,88.75565338
2311,88.75719452
2310,88.74558258
2309,88.74085236
2308,88.73526001
2307,88.73913574
2306,88.74794006
2305,88.71134186
2304,88.70897675
2303,88.71352386
2302,88.70104218
2301,88.70578003
2300,88.69551086
2299,88.68808746
2298,88.69941711
2297,88.66704559
2296,88.67144775
2295,88.66656494
2294,88.66928864
2293,88.66699219
2292,88.66035461
2291,88.65745544
2290,88.64467621
2289,88.64234924
2288,88.63670349
2287,88.63052368
2286,88.62701416
2285,88.61713409
2284,88.61333466
2283,88.60964966
2282,88.60535431
2281,88.59689331
2280,88.58409882
2279,88.58589935
2278,88.57782745
2277,88.56988525
2276,88.57196045
2275,88.56829071
2274,88.55622864
2273,88.55297852
2272,88.54005432
2271,88.5466156
2270,88.53353119
2269,88.5354538
2268,88.52415466
2267,88.53695679
2266,88.50660706
2265,88.50024414
2264,88.5057373
2263,88.50226593
2262,88.47711945
2261,88.48902893
2260,88.47904205
2259,88.47146606
2258,88.47292328
2257,88.45821381
2256,88.45371246
2255,88.45834351
2254,88.44812775
