1.89999	7.8149
1.89982	7.82146
1.89966	7.82753
1.8995	8.09001
1.89934	8.47836
1.89918	9.87443
1.89902	9.26428
1.89886	9.04606
1.8987	9.6954
1.89854	9.4682
1.89838	8.9897
1.89821	9.1423
1.89805	9.55304
1.89789	9.70005
1.89773	8.95052
1.89757	9.21794
1.89741	9.6114
1.89725	9.87601
1.89709	9.6261
1.89693	9.25764
1.89677	10.154
1.89661	9.29025
1.89645	9.30656
1.89629	9.19961
1.89613	9.85171
1.89597	9.23547
1.89581	9.37988
1.89565	9.26991
1.89549	9.03078
1.89533	8.78985
1.89516	9.05706
1.895	8.94183
1.89484	10.3483
1.89468	9.72507
1.89452	9.98822
1.89436	8.98491
1.8942	10.7647
1.89404	8.50027
1.89388	10.9135
1.89372	9.53931
1.89356	10.4411
1.8934	8.94267
1.89324	8.83397
1.89308	8.7286
1.89292	10.271
1.89276	9.4095
1.8926	8.92527
1.89244	10.0918
1.89228	9.98554
1.89212	10.9041
1.89196	10.0396
1.89181	10.577
1.89165	10.4772
1.89149	9.35372
1.89133	9.63643
1.89117	10.4322
1.89101	9.42775
1.89085	9.70887
1.89069	11.0197
1.89053	10.7859
1.89037	9.13151
1.89021	9.79723
1.89005	11.7527
1.88989	9.31723
1.88973	10.366
1.88957	10.2551
1.88941	9.49791
1.88925	9.9049
1.88909	9.92198
1.88894	10.1988
1.88878	9.9534
1.88862	10.2234
1.88846	10.2261
1.8883	10.1039
1.88814	11.0122
1.88798	10.5003
1.88782	9.73094
1.88766	11.4069
1.8875	11.28
1.88734	11.6659
1.88719	11.0277
1.88703	10.0081
1.88687	11.0339
1.88671	11.4209
1.88655	10.1493
1.88639	10.5367
1.88623	11.307
1.88607	10.422
1.88592	11.1921
1.88576	10.3116
1.8856	10.0667
1.88544	11.5994
1.88528	10.9766
1.88512	10.7334
1.88496	10.9971
1.88481	9.99746
1.88465	11.4044
1.88449	10.2802
1.88433	10.8025
1.88417	10.3135
1.88401	10.334
1.88385	11.4984
1.8837	10.377
1.88354	10.6513
1.88338	10.2909
1.88322	10.1823
1.88306	11.2201
1.88291	10.855
1.88275	11.382
1.88259	11.6537
1.88243	10.5243
1.88227	11.1811
1.88211	12.0955
1.88196	11.7368
1.8818	11.7613
1.88164	11.147
1.88148	11.0443
